zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus,gym_count,gyms_per_10000_adults
01001,31.6,24.7,16984,14019,0.0,0.0
01002,21.3,18.0,27558,23853,0.0,0.0
01003,13.9,11.5,13253,13181,0.0,0.0
01005,34.3,25.3,4900,3889,0.0,0.0
01007,24.2,17.3,15423,12248,0.0,0.0
01008,31.6,23.6,1317,1099,0.0,0.0
01009,33.8,25.2,980,779,0.0,0.0
01010,30.9,21.6,3711,3021,0.0,0.0
01011,31.3,22.9,1201,1020,0.0,0.0
01012,23.8,16.2,519,440,0.0,0.0
01013,35.3,30.5,23656,18521,0.0,0.0
01020,34.3,29.3,29781,24349,0.0,0.0
01022,33.3,29.4,2158,1872,0.0,0.0
01026,24.5,18.4,1011,864,0.0,0.0
01027,24.8,19.3,17896,15089,0.0,0.0
01028,28.8,21.1,16417,13065,0.0,0.0
01029,30.5,20.8,714,643,0.0,0.0
01030,31.3,23.1,11708,9538,0.0,0.0
01031,33.2,23.4,1406,1132,0.0,0.0
01032,23.3,17.0,483,397,0.0,0.0
01033,23.8,18.1,6092,5024,0.0,0.0
01034,31.4,22.9,1977,1652,0.0,0.0
01035,20.8,15.1,5325,4558,0.0,0.0
01036,29.5,20.8,4966,4162,0.0,0.0
01037,32.7,23.5,706,568,0.0,0.0
01038,24.1,18.0,2522,2147,0.0,0.0
01039,24.1,17.6,1511,1262,0.0,0.0
01040,38.3,37.5,38238,29727,0.0,0.0
01050,26.7,21.4,2467,1995,0.0,0.0
01053,22.4,18.2,2031,1768,0.0,0.0
01054,23.6,18.0,1889,1592,0.0,0.0
01056,33.0,26.7,21002,17568,0.0,0.0
01057,33.2,25.7,8152,6766,0.0,0.0
01060,23.7,17.7,14461,12439,0.0,0.0
01062,24.5,18.2,10910,8906,0.0,0.0
01063,13.9,12.1,2106,2077,0.0,0.0
01066,23.4,17.7,215,188,0.0,0.0
01068,31.9,20.9,1904,1540,0.0,0.0
01069,33.2,26.7,8428,6976,0.0,0.0
01070,24.6,19.1,577,489,0.0,0.0
01071,31.0,21.6,1486,1178,0.0,0.0
01072,24.8,17.4,1366,1133,0.0,0.0
01073,23.6,17.0,6224,5007,0.0,0.0
01074,34.2,25.7,584,426,0.0,0.0
01075,21.7,17.0,18168,15419,0.0,0.0
01077,31.3,23.0,9237,7616,0.0,0.0
01079,33.0,25.9,701,563,0.0,0.0
01080,32.4,24.6,2400,1893,0.0,0.0
01081,32.1,23.7,1684,1337,0.0,0.0
01082,28.4,24.6,10565,8439,0.0,0.0
01083,33.7,23.7,2549,2031,0.0,0.0
01084,23.5,16.9,185,154,0.0,0.0
01085,31.6,24.5,41529,33794,0.0,0.0
01088,23.2,17.7,598,521,0.0,0.0
01089,33.3,27.4,28835,22989,0.0,0.0
01092,33.9,23.1,1343,1039,0.0,0.0
01093,26.5,19.5,290,262,0.0,0.0
01094,34.1,24.2,60,55,0.0,0.0
01095,29.2,20.5,14694,11608,0.0,0.0
01096,23.6,16.8,2509,2107,0.0,0.0
01097,33.6,21.8,130,106,0.0,0.0
01098,24.5,18.8,1147,994,0.0,0.0
01103,46.1,46.3,2545,2176,0.0,0.0
01104,40.6,40.1,23598,17954,0.0,0.0
01105,47.2,50.0,12051,8771,0.0,0.0
01106,27.5,18.9,16165,12382,0.0,0.0
01107,44.5,49.3,11252,7773,0.0,0.0
01108,39.8,38.4,27671,20293,0.0,0.0
01109,39.9,36.8,30968,23402,0.0,0.0
01118,34.5,28.5,14296,11265,0.0,0.0
01119,35.5,31.5,14393,11507,0.0,0.0
01128,33.3,26.0,2647,2218,0.0,0.0
01129,34.6,27.2,7024,5690,0.0,0.0
01151,39.0,35.3,9150,6604,0.0,0.0
01201,32.9,23.6,45494,36778,0.0,0.0
01220,33.2,24.6,8166,6640,0.0,0.0
01222,30.6,20.1,835,691,0.0,0.0
01223,31.4,20.3,2430,2044,0.0,0.0
01224,31.1,19.2,217,175,0.0,0.0
01225,31.4,21.5,3258,2685,0.0,0.0
01226,30.6,20.8,6324,5101,0.0,0.0
01229,30.9,20.7,189,182,0.0,0.0
01230,29.0,20.0,8907,7425,0.0,0.0
01235,31.8,22.1,2733,2308,0.0,0.0
01236,28.6,17.4,1513,1200,0.0,0.0
01237,31.2,20.3,2365,1932,0.0,0.0
01238,29.4,20.3,5722,4855,0.0,0.0
01240,28.4,21.7,4692,4022,0.0,0.0
01242,29.6,18.5,449,375,0.0,0.0
01243,24.1,18.8,175,151,0.0,0.0
01244,31.8,19.5,287,250,0.0,0.0
01245,28.8,19.2,933,826,0.0,0.0
01247,33.5,25.6,15147,12522,0.0,0.0
01253,30.7,21.2,808,703,0.0,0.0
01254,30.0,20.9,946,829,0.0,0.0
01255,30.3,20.8,959,809,0.0,0.0
01256,32.9,23.6,645,578,0.0,0.0
01257,30.2,20.6,2140,1816,0.0,0.0
01258,28.3,18.5,160,146,0.0,0.0
01259,30.0,20.4,643,536,0.0,0.0
01260,28.4,19.1,233,183,0.0,0.0
01262,29.5,21.1,1758,1564,0.0,0.0
01264,27.7,20.9,219,197,0.0,0.0
01266,28.3,17.0,1208,1027,0.0,0.0
01267,26.0,17.3,7876,6814,0.0,0.0
01270,30.9,19.2,755,658,0.0,0.0
01301,27.4,23.8,18042,14859,0.0,0.0
01330,24.5,18.3,1500,1278,0.0,0.0
01331,35.2,27.6,13656,10847,0.0,0.0
01337,25.9,21.3,2562,2138,0.0,0.0
01338,26.1,22.0,127,116,0.0,0.0
01339,25.8,21.4,1487,1244,0.0,0.0
01340,26.0,21.3,1803,1492,0.0,0.0
01341,24.9,18.3,1539,1280,0.0,0.0
01342,25.1,18.7,1538,1222,0.0,0.0
01343,32.6,23.8,165,137,0.0,0.0
01344,26.0,20.5,1665,1338,0.0,0.0
01346,26.0,21.5,352,289,0.0,0.0
01347,25.5,21.3,204,176,0.0,0.0
01349,26.7,20.2,827,657,0.0,0.0
01350,26.5,21.6,118,87,0.0,0.0
