zcta5,gym_count
19711,1
20619,2
20639,1
20646,1
20650,2
20653,3
20659,1
20664,1
20675,1
20686,1
20707,4
20708,1
20712,1
20715,6
20716,2
20723,2
20737,1
20740,4
20742,3
20746,1
20748,3
20754,1
20755,1
20769,2
20770,2
20772,3
20774,1
20781,2
20782,4
20785,1
20794,2
20814,8
20815,6
20816,2
20817,7
20837,1
20841,7
20842,1
20850,8
20851,1
20852,9
20853,2
20854,10
20860,1
20861,1
20874,9
20877,2
20878,8
20886,1
20889,1
20895,2
20896,1
20901,4
20902,7
20903,1
20904,2
20905,2
20906,6
20910,2
20912,1
21001,1
21009,2
21012,3
21014,1
21015,8
21028,2
21029,1
21030,3
21037,1
21040,2
21042,1
21043,4
21044,1
21045,7
21046,2
21047,4
21050,5
21054,1
21057,1
21060,4
21061,1
21074,3
21085,1
21087,1
21093,9
21102,1
21104,2
21113,1
21114,1
21117,5
21122,1
21128,1
21131,3
21136,2
21144,1
21146,6
21156,1
21157,4
21158,1
21162,2
21201,1
21202,1
21204,2
21205,2
21206,1
21207,1
21208,2
21209,3
21210,7
21211,11
21212,4
21216,1
21217,6
21218,6
21220,1
21221,1
21222,13
21223,1
21224,5
21225,2
21226,2
21227,1
21228,3
21229,4
21230,2
21234,3
21236,1
21237,4
21250,1
21285,4
21286,4
21401,6
21402,1
21403,3
21502,1
21532,2
21536,1
21541,1
21601,5
21613,6
21620,6
21629,2
21640,1
21651,1
21657,1
21659,1
21666,1
21701,3
21702,1
21703,1
21704,5
21716,1
21727,3
21740,1
21742,3
21754,1
21771,3
21774,2
21784,1
21787,2
21788,4
21793,1
21801,2
21804,3
21811,6
21822,1
21837,2
21842,10
21851,2
21875,1
21901,2
21918,1
21919,1
21921,5
22309,1
