year,zcta5,measure,data_value,data_value_type,totalpopulation,totalpop18plus
2023,01001,Physical Inactivity,24.7,Crude prevalence,16984,14019
2023,01001,Obesity,31.6,Crude prevalence,16984,14019
2023,01002,Physical Inactivity,18.0,Crude prevalence,27558,23853
2023,01002,Obesity,21.3,Crude prevalence,27558,23853
2023,01003,Physical Inactivity,11.5,Crude prevalence,13253,13181
2023,01003,Obesity,13.9,Crude prevalence,13253,13181
2023,01005,Physical Inactivity,25.3,Crude prevalence,4900,3889
2023,01005,Obesity,34.3,Crude prevalence,4900,3889
2023,01007,Physical Inactivity,17.3,Crude prevalence,15423,12248
2023,01007,Obesity,24.2,Crude prevalence,15423,12248
2023,01008,Physical Inactivity,23.6,Crude prevalence,1317,1099
2023,01008,Obesity,31.6,Crude prevalence,1317,1099
2023,01009,Physical Inactivity,25.2,Crude prevalence,980,779
2023,01009,Obesity,33.8,Crude prevalence,980,779
2023,01010,Physical Inactivity,21.6,Crude prevalence,3711,3021
2023,01010,Obesity,30.9,Crude prevalence,3711,3021
2023,01011,Physical Inactivity,22.9,Crude prevalence,1201,1020
2023,01011,Obesity,31.3,Crude prevalence,1201,1020
2023,01012,Physical Inactivity,16.2,Crude prevalence,519,440
2023,01012,Obesity,23.8,Crude prevalence,519,440
2023,01013,Physical Inactivity,30.5,Crude prevalence,23656,18521
2023,01013,Obesity,35.3,Crude prevalence,23656,18521
2023,01020,Physical Inactivity,29.3,Crude prevalence,29781,24349
2023,01020,Obesity,34.3,Crude prevalence,29781,24349
2023,01022,Physical Inactivity,29.4,Crude prevalence,2158,1872
2023,01022,Obesity,33.3,Crude prevalence,2158,1872
2023,01026,Physical Inactivity,18.4,Crude prevalence,1011,864
2023,01026,Obesity,24.5,Crude prevalence,1011,864
2023,01027,Physical Inactivity,19.3,Crude prevalence,17896,15089
2023,01027,Obesity,24.8,Crude prevalence,17896,15089
2023,01028,Physical Inactivity,21.1,Crude prevalence,16417,13065
2023,01028,Obesity,28.8,Crude prevalence,16417,13065
2023,01029,Physical Inactivity,20.8,Crude prevalence,714,643
2023,01029,Obesity,30.5,Crude prevalence,714,643
2023,01030,Physical Inactivity,23.1,Crude prevalence,11708,9538
2023,01030,Obesity,31.3,Crude prevalence,11708,9538
2023,01031,Physical Inactivity,23.4,Crude prevalence,1406,1132
2023,01031,Obesity,33.2,Crude prevalence,1406,1132
2023,01032,Physical Inactivity,17.0,Crude prevalence,483,397
2023,01032,Obesity,23.3,Crude prevalence,483,397
2023,01033,Physical Inactivity,18.1,Crude prevalence,6092,5024
2023,01033,Obesity,23.8,Crude prevalence,6092,5024
2023,01034,Physical Inactivity,22.9,Crude prevalence,1977,1652
2023,01034,Obesity,31.4,Crude prevalence,1977,1652
2023,01035,Physical Inactivity,15.1,Crude prevalence,5325,4558
2023,01035,Obesity,20.8,Crude prevalence,5325,4558
2023,01036,Physical Inactivity,20.8,Crude prevalence,4966,4162
2023,01036,Obesity,29.5,Crude prevalence,4966,4162
2023,01037,Physical Inactivity,23.5,Crude prevalence,706,568
2023,01037,Obesity,32.7,Crude prevalence,706,568
2023,01038,Physical Inactivity,18.0,Crude prevalence,2522,2147
2023,01038,Obesity,24.1,Crude prevalence,2522,2147
2023,01039,Physical Inactivity,17.6,Crude prevalence,1511,1262
2023,01039,Obesity,24.1,Crude prevalence,1511,1262
2023,01040,Physical Inactivity,37.5,Crude prevalence,38238,29727
2023,01040,Obesity,38.3,Crude prevalence,38238,29727
2023,01050,Physical Inactivity,21.4,Crude prevalence,2467,1995
2023,01050,Obesity,26.7,Crude prevalence,2467,1995
2023,01053,Physical Inactivity,18.2,Crude prevalence,2031,1768
2023,01053,Obesity,22.4,Crude prevalence,2031,1768
2023,01054,Physical Inactivity,18.0,Crude prevalence,1889,1592
2023,01054,Obesity,23.6,Crude prevalence,1889,1592
2023,01056,Physical Inactivity,26.7,Crude prevalence,21002,17568
2023,01056,Obesity,33.0,Crude prevalence,21002,17568
2023,01057,Physical Inactivity,25.7,Crude prevalence,8152,6766
2023,01057,Obesity,33.2,Crude prevalence,8152,6766
2023,01060,Physical Inactivity,17.7,Crude prevalence,14461,12439
2023,01060,Obesity,23.7,Crude prevalence,14461,12439
2023,01062,Physical Inactivity,18.2,Crude prevalence,10910,8906
2023,01062,Obesity,24.5,Crude prevalence,10910,8906
2023,01063,Physical Inactivity,12.1,Crude prevalence,2106,2077
2023,01063,Obesity,13.9,Crude prevalence,2106,2077
2023,01066,Physical Inactivity,17.7,Crude prevalence,215,188
2023,01066,Obesity,23.4,Crude prevalence,215,188
2023,01068,Physical Inactivity,20.9,Crude prevalence,1904,1540
2023,01068,Obesity,31.9,Crude prevalence,1904,1540
2023,01069,Physical Inactivity,26.7,Crude prevalence,8428,6976
2023,01069,Obesity,33.2,Crude prevalence,8428,6976
2023,01070,Physical Inactivity,19.1,Crude prevalence,577,489
2023,01070,Obesity,24.6,Crude prevalence,577,489
2023,01071,Physical Inactivity,21.6,Crude prevalence,1486,1178
2023,01071,Obesity,31.0,Crude prevalence,1486,1178
2023,01072,Physical Inactivity,17.4,Crude prevalence,1366,1133
2023,01072,Obesity,24.8,Crude prevalence,1366,1133
2023,01073,Physical Inactivity,17.0,Crude prevalence,6224,5007
2023,01073,Obesity,23.6,Crude prevalence,6224,5007
2023,01074,Physical Inactivity,25.7,Crude prevalence,584,426
2023,01074,Obesity,34.2,Crude prevalence,584,426
2023,01075,Physical Inactivity,17.0,Crude prevalence,18168,15419
2023,01075,Obesity,21.7,Crude prevalence,18168,15419
2023,01077,Physical Inactivity,23.0,Crude prevalence,9237,7616
2023,01077,Obesity,31.3,Crude prevalence,9237,7616
2023,01079,Physical Inactivity,25.9,Crude prevalence,701,563
2023,01079,Obesity,33.0,Crude prevalence,701,563
2023,01080,Physical Inactivity,24.6,Crude prevalence,2400,1893
2023,01080,Obesity,32.4,Crude prevalence,2400,1893
2023,01081,Physical Inactivity,23.7,Crude prevalence,1684,1337
2023,01081,Obesity,32.1,Crude prevalence,1684,1337
2023,01082,Physical Inactivity,24.6,Crude prevalence,10565,8439
2023,01082,Obesity,28.4,Crude prevalence,10565,8439
2023,01083,Physical Inactivity,23.7,Crude prevalence,2549,2031
2023,01083,Obesity,33.7,Crude prevalence,2549,2031
2023,01084,Physical Inactivity,16.9,Crude prevalence,185,154
2023,01084,Obesity,23.5,Crude prevalence,185,154
2023,01085,Physical Inactivity,24.5,Crude prevalence,41529,33794
2023,01085,Obesity,31.6,Crude prevalence,41529,33794
2023,01088,Physical Inactivity,17.7,Crude prevalence,598,521
2023,01088,Obesity,23.2,Crude prevalence,598,521
2023,01089,Physical Inactivity,27.4,Crude prevalence,28835,22989
2023,01089,Obesity,33.3,Crude prevalence,28835,22989
2023,01092,Physical Inactivity,23.1,Crude prevalence,1343,1039
2023,01092,Obesity,33.9,Crude prevalence,1343,1039
2023,01093,Physical Inactivity,19.5,Crude prevalence,290,262
2023,01093,Obesity,26.5,Crude prevalence,290,262
2023,01094,Physical Inactivity,24.2,Crude prevalence,60,55
2023,01094,Obesity,34.1,Crude prevalence,60,55
2023,01095,Physical Inactivity,20.5,Crude prevalence,14694,11608
2023,01095,Obesity,29.2,Crude prevalence,14694,11608
2023,01096,Physical Inactivity,16.8,Crude prevalence,2509,2107
2023,01096,Obesity,23.6,Crude prevalence,2509,2107
2023,01097,Physical Inactivity,21.8,Crude prevalence,130,106
2023,01097,Obesity,33.6,Crude prevalence,130,106
2023,01098,Physical Inactivity,18.8,Crude prevalence,1147,994
2023,01098,Obesity,24.5,Crude prevalence,1147,994
2023,01103,Physical Inactivity,46.3,Crude prevalence,2545,2176
2023,01103,Obesity,46.1,Crude prevalence,2545,2176
2023,01104,Physical Inactivity,40.1,Crude prevalence,23598,17954
